注文明細ID,注文ID,商品ID,商品名,商品カテゴリ,ブランド,単価,数量,割引率,明細金額,出荷倉庫ID
OI0000124,O000533,P014,フィットネスウォッチ,ウェアラブル,PulseOn,180.23,1,0.00,180.23,WH-BUSAN
OI0000125,O000270,P008,ポータブルSSD 1TB,ストレージ,DataNest,128.85,1,0.00,128.85,WH-BUSAN
OI0000126,O000601,P012,11インチタブレット,コンピューター,NovaTech,662.48,1,0.00,662.48,WH-SEOUL
OI0000127,O000326,P017,4Kアクションカメラ,カメラ,VisionGo,355.29,1,0.00,355.29,WH-BUSAN
OI0000128,O000044,P002,メカニカルキーボード,周辺機器,KeyForge,91.49,1,0.00,91.49,WH-DAEJEON
OI0000129,O000506,P002,メカニカルキーボード,周辺機器,KeyForge,83.25,2,0.00,166.50,WH-BUSAN
OI0000130,O000238,P001,ワイヤレスマウス,周辺機器,Nexio,28.85,1,0.10,25.97,WH-INCHEON
OI0000131,O000227,P002,メカニカルキーボード,周辺機器,KeyForge,82.30,1,0.00,82.30,WH-SEOUL
OI0000132,O000066,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,234.67,1,0.00,234.67,WH-BUSAN
OI0000133,O000541,P004,27インチモニター,ディスプレイ,ViewPeak,305.23,4,0.00,1220.92,WH-SEOUL
OI0000134,O000403,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1208.68,1,0.00,1208.68,WH-SEOUL
OI0000135,O000424,P015,65W急速充電器,周辺機器,VoltEdge,38.69,1,0.20,30.95,WH-BUSAN
OI0000136,O000232,P005,ノートPCスタンド,オフィス用品,ErgoLab,46.04,1,0.05,43.74,WH-SEOUL
OI0000137,O000302,P012,11インチタブレット,コンピューター,NovaTech,627.87,1,0.00,627.87,WH-SEOUL
OI0000138,O000240,P003,USB-Cハブ,周辺機器,Nexio,53.32,1,0.15,45.32,WH-BUSAN
OI0000139,O000296,P008,ポータブルSSD 1TB,ストレージ,DataNest,131.96,1,0.15,112.17,WH-BUSAN
OI0000140,O000109,P003,USB-Cハブ,周辺機器,Nexio,51.19,1,0.05,48.63,WH-SEOUL
OI0000141,O000012,P001,ワイヤレスマウス,周辺機器,Nexio,29.35,1,0.00,29.35,WH-SEOUL
OI0000142,O000039,P007,高画質ウェブカメラ,周辺機器,VisionGo,111.47,3,0.00,334.41,WH-DAEJEON
OI0000143,O000637,P001,ワイヤレスマウス,周辺機器,Nexio,28.92,1,0.15,24.58,WH-BUSAN
OI0000144,O000692,P014,フィットネスウォッチ,ウェアラブル,PulseOn,167.48,2,0.10,301.46,WH-SEOUL
OI0000145,O000534,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,218.63,1,0.05,207.70,WH-BUSAN
OI0000146,O000126,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,228.63,1,0.00,228.63,WH-SEOUL
OI0000147,O000294,P014,フィットネスウォッチ,ウェアラブル,PulseOn,177.18,1,0.00,177.18,WH-SEOUL
OI0000148,O000525,P014,フィットネスウォッチ,ウェアラブル,PulseOn,167.27,3,0.10,451.63,WH-SEOUL
OI0000149,O000707,P007,高画質ウェブカメラ,周辺機器,VisionGo,116.53,1,0.00,116.53,WH-SEOUL
OI0000150,O000124,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.05,2,0.00,96.10,WH-BUSAN
OI0000151,O000103,P018,電子書籍リーダー,コンピューター,PageFlow,145.07,2,0.00,290.14,WH-BUSAN
OI0000152,O000121,P005,ノートPCスタンド,オフィス用品,ErgoLab,43.77,2,0.00,87.54,WH-DAEJEON
OI0000153,O000199,P014,フィットネスウォッチ,ウェアラブル,PulseOn,184.54,2,0.10,332.17,WH-INCHEON
OI0000154,O000186,P015,65W急速充電器,周辺機器,VoltEdge,36.74,1,0.00,36.74,WH-DAEJEON
OI0000155,O000495,P001,ワイヤレスマウス,周辺機器,Nexio,29.12,4,0.05,110.66,WH-DAEJEON
OI0000156,O000159,P007,高画質ウェブカメラ,周辺機器,VisionGo,115.10,1,0.10,103.59,WH-SEOUL
OI0000157,O000548,P003,USB-Cハブ,周辺機器,Nexio,53.69,1,0.15,45.64,WH-DAEJEON
OI0000158,O000467,P001,ワイヤレスマウス,周辺機器,Nexio,28.84,1,0.10,25.96,WH-BUSAN
OI0000159,O000027,P007,高画質ウェブカメラ,周辺機器,VisionGo,117.46,2,0.00,234.92,WH-SEOUL
OI0000160,O000355,P009,スマートデスクライト,オフィス用品,LumaWorks,70.75,2,0.00,141.50,WH-DAEJEON
OI0000161,O000560,P003,USB-Cハブ,周辺機器,Nexio,50.73,1,0.05,48.19,WH-BUSAN
OI0000162,O000677,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,245.53,4,0.00,982.12,WH-BUSAN
OI0000163,O000668,P017,4Kアクションカメラ,カメラ,VisionGo,351.69,1,0.05,334.11,WH-SEOUL
OI0000164,O000374,P015,65W急速充電器,周辺機器,VoltEdge,36.00,1,0.05,34.20,WH-SEOUL
OI0000165,O000718,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,368.64,1,0.10,331.78,WH-BUSAN
OI0000166,O000111,P001,ワイヤレスマウス,周辺機器,Nexio,31.17,2,0.10,56.11,WH-SEOUL
OI0000167,O000720,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,389.80,1,0.00,389.80,WH-SEOUL
OI0000168,O000062,P002,メカニカルキーボード,周辺機器,KeyForge,85.85,1,0.10,77.27,WH-BUSAN
OI0000169,O000561,P009,スマートデスクライト,オフィス用品,LumaWorks,67.60,4,0.00,270.40,WH-DAEJEON
OI0000170,O000708,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,221.60,1,0.05,210.52,WH-SEOUL
OI0000171,O000207,P007,高画質ウェブカメラ,周辺機器,VisionGo,109.58,1,0.00,109.58,WH-DAEJEON
OI0000172,O000380,P015,65W急速充電器,周辺機器,VoltEdge,42.07,4,0.00,168.28,WH-SEOUL
OI0000173,O000440,P015,65W急速充電器,周辺機器,VoltEdge,41.00,1,0.05,38.95,WH-SEOUL
OI0000174,O000310,P007,高画質ウェブカメラ,周辺機器,VisionGo,106.69,1,0.10,96.02,WH-SEOUL
OI0000175,O000569,P017,4Kアクションカメラ,カメラ,VisionGo,351.93,2,0.00,703.86,WH-SEOUL
OI0000176,O000609,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1271.04,4,0.05,4829.95,WH-SEOUL
OI0000177,O000312,P003,USB-Cハブ,周辺機器,Nexio,53.92,1,0.00,53.92,WH-BUSAN
OI0000178,O000625,P017,4Kアクションカメラ,カメラ,VisionGo,310.07,1,0.00,310.07,WH-INCHEON
OI0000179,O000398,P018,電子書籍リーダー,コンピューター,PageFlow,156.54,3,0.00,469.62,WH-INCHEON
OI0000180,O000237,P017,4Kアクションカメラ,カメラ,VisionGo,316.15,3,0.20,758.76,WH-SEOUL
OI0000181,O000254,P010,Bluetoothスピーカー,オーディオ,SonicArc,98.53,1,0.00,98.53,WH-SEOUL
OI0000182,O000187,P007,高画質ウェブカメラ,周辺機器,VisionGo,111.15,1,0.00,111.15,WH-SEOUL
OI0000183,O000649,P012,11インチタブレット,コンピューター,NovaTech,625.05,2,0.00,1250.10,WH-SEOUL
OI0000184,O000621,P018,電子書籍リーダー,コンピューター,PageFlow,156.68,1,0.00,156.68,WH-SEOUL
OI0000185,O000405,P001,ワイヤレスマウス,周辺機器,Nexio,32.04,2,0.00,64.08,WH-SEOUL
OI0000186,O000522,P001,ワイヤレスマウス,周辺機器,Nexio,31.65,1,0.00,31.65,WH-DAEJEON
OI0000187,O000485,P008,ポータブルSSD 1TB,ストレージ,DataNest,138.16,1,0.00,138.16,WH-DAEJEON
OI0000188,O000335,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,203.59,2,0.15,346.10,WH-SEOUL
OI0000189,O000350,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,220.48,1,0.00,220.48,WH-SEOUL
OI0000190,O000043,P001,ワイヤレスマウス,周辺機器,Nexio,31.79,1,0.00,31.79,WH-INCHEON
OI0000191,O000159,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1151.78,1,0.00,1151.78,WH-INCHEON
OI0000192,O000126,P005,ノートPCスタンド,オフィス用品,ErgoLab,46.87,2,0.10,84.37,WH-SEOUL
OI0000193,O000099,P015,65W急速充電器,周辺機器,VoltEdge,40.09,1,0.00,40.09,WH-SEOUL
OI0000194,O000162,P018,電子書籍リーダー,コンピューター,PageFlow,137.23,3,0.00,411.69,WH-DAEJEON
OI0000195,O000120,P018,電子書籍リーダー,コンピューター,PageFlow,139.06,1,0.10,125.15,WH-SEOUL
OI0000196,O000242,P008,ポータブルSSD 1TB,ストレージ,DataNest,141.23,3,0.00,423.69,WH-INCHEON
OI0000197,O000079,P009,スマートデスクライト,オフィス用品,LumaWorks,75.28,3,0.00,225.84,WH-SEOUL
OI0000198,O000119,P004,27インチモニター,ディスプレイ,ViewPeak,292.04,1,0.00,292.04,WH-INCHEON
OI0000199,O000160,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1161.00,4,0.00,4644.00,WH-BUSAN
OI0000200,O000156,P003,USB-Cハブ,周辺機器,Nexio,52.96,1,0.00,52.96,WH-SEOUL
OI0000201,O000720,P007,高画質ウェブカメラ,周辺機器,VisionGo,106.38,1,0.10,95.74,WH-DAEJEON
OI0000202,O000285,P013,14インチ軽量ノートPC,コンピューター,NovaTech,1179.64,1,0.05,1120.66,WH-SEOUL
OI0000203,O000279,P017,4Kアクションカメラ,カメラ,VisionGo,343.27,3,0.20,823.85,WH-SEOUL
OI0000204,O000195,P005,ノートPCスタンド,オフィス用品,ErgoLab,46.40,2,0.10,83.52,WH-DAEJEON
OI0000205,O000468,P014,フィットネスウォッチ,ウェアラブル,PulseOn,178.82,1,0.00,178.82,WH-SEOUL
OI0000206,O000347,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.05,1,0.10,43.24,WH-BUSAN
OI0000207,O000249,P012,11インチタブレット,コンピューター,NovaTech,606.71,1,0.00,606.71,WH-SEOUL
OI0000208,O000660,P017,4Kアクションカメラ,カメラ,VisionGo,350.12,1,0.00,350.12,WH-INCHEON
OI0000209,O000019,P009,スマートデスクライト,オフィス用品,LumaWorks,69.31,1,0.00,69.31,WH-SEOUL
OI0000210,O000636,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,203.29,1,0.00,203.29,WH-SEOUL
OI0000211,O000284,P014,フィットネスウォッチ,ウェアラブル,PulseOn,176.54,1,0.00,176.54,WH-DAEJEON
OI0000212,O000176,P005,ノートPCスタンド,オフィス用品,ErgoLab,48.11,1,0.00,48.11,WH-DAEJEON
OI0000213,O000116,P015,65W急速充電器,周辺機器,VoltEdge,39.06,1,0.10,35.15,WH-BUSAN
OI0000214,O000191,P017,4Kアクションカメラ,カメラ,VisionGo,317.60,1,0.00,317.60,WH-BUSAN
OI0000215,O000298,P015,65W急速充電器,周辺機器,VoltEdge,39.32,2,0.20,62.91,WH-BUSAN
OI0000216,O000707,P007,高画質ウェブカメラ,周辺機器,VisionGo,105.15,1,0.10,94.64,WH-SEOUL
OI0000217,O000356,P015,65W急速充電器,周辺機器,VoltEdge,40.10,1,0.00,40.10,WH-SEOUL
OI0000218,O000646,P014,フィットネスウォッチ,ウェアラブル,PulseOn,176.32,2,0.00,352.64,WH-INCHEON
OI0000219,O000013,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,375.62,3,0.00,1126.86,WH-SEOUL
OI0000220,O000277,P015,65W急速充電器,周辺機器,VoltEdge,41.27,3,0.00,123.81,WH-BUSAN
OI0000221,O000455,P004,27インチモニター,ディスプレイ,ViewPeak,275.53,3,0.00,826.59,WH-SEOUL
OI0000222,O000612,P015,65W急速充電器,周辺機器,VoltEdge,40.22,1,0.00,40.22,WH-BUSAN
OI0000223,O000342,P018,電子書籍リーダー,コンピューター,PageFlow,139.65,1,0.05,132.67,WH-SEOUL
OI0000224,O000084,P016,メッシュWi-Fiルーター,ネットワーク,LinkSphere,214.76,1,0.00,214.76,WH-SEOUL
OI0000225,O000348,P015,65W急速充電器,周辺機器,VoltEdge,41.19,1,0.00,41.19,WH-INCHEON
OI0000226,O000348,P011,エルゴノミクスチェア,オフィス用品,ErgoLab,371.55,1,0.00,371.55,WH-SEOUL
OI0000227,O000056,P017,4Kアクションカメラ,カメラ,VisionGo,354.89,1,0.00,354.89,WH-SEOUL
OI0000228,O000081,P003,USB-Cハブ,周辺機器,Nexio,57.47,2,0.00,114.94,WH-BUSAN
OI0000229,O000180,P014,フィットネスウォッチ,ウェアラブル,PulseOn,187.95,2,0.00,375.90,WH-BUSAN
OI0000230,O000524,P005,ノートPCスタンド,オフィス用品,ErgoLab,45.70,1,0.00,45.70,WH-SEOUL
OI0000231,O000695,P018,電子書籍リーダー,コンピューター,PageFlow,158.60,1,0.00,158.60,WH-INCHEON
OI0000232,O000426,P006,ノイズキャンセリングヘッドホン,オーディオ,SonicArc,231.45,1,0.00,231.45,WH-DAEJEON
